OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,Shape_Leng,Shape_Area,curr_are,TotArea,sqMi23
1,MA52_11,MA52-11,3.26771000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,22179.87620000000,8462999.97598000000,3.26770823317,3.26000000000,3.26770802925
2,MA52_01,MA52-01,3.31998000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,18580.00000000000,8598239.96827000000,3.31999984908,3.32000000000,3.31998422469
3,MA52_06,MA52-06,7.49262000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,29340.00000000000,19350508.45850000000,7.47169422495,7.48000000000,7.49261935741
4,MA52_10,MA52-10,1.64326000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,12440.00000000000,4255800.00000000000,1.64325657559,1.64000000000,1.64325657461
5,MA52_08,MA52-08,12.57620000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,51560.00000000000,32570600.00000000000,12.57620666430,12.50000000000,12.50592163790
6,MA52_05,MA52-05,3.40045000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,18839.86760000000,8806703.20426000000,3.40044975669,3.39000000000,3.40044953930
7,MA52_03,MA52-03,41.92180000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,83439.85040010000,108506598.32800000000,41.89682674210,41.78000000000,41.81296985170
8,MA52_07,MA52-07,4.98006000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,30260.00000000000,12897600.00000000000,4.98005838044,4.98000000000,4.98005828901
9,MA52_02,MA52-02,11.00280000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,38640.00000000000,28484789.85420000000,10.99867098440,11.00000000000,11.00276778180
10,MA52_09,MA52-09,1.20706000000,0.00000000000,New Group Layer\tenmile_all_subbasins,0,15420.00000000000,3126100.00000000000,1.20706354183,1.21000000000,1.20706350360
11,MA62_46,MA62-46,1.59977000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,14840.00000000000,4143100.00000000000,1.59976837152,1.60000000000,1.59976837853
12,MA62_45,MA62-45,6.60389000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,27340.00000000000,16983189.45990000000,6.55732465848,6.55000000000,6.60389212884
14,MA62_42,MA62-42,6.16353000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,28080.00000000000,14326475.84110000000,5.53157547760,6.16000000000,6.16352502400
15,MA62_41,MA62-41,7.56045000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,33940.00000000000,19580800.00000000000,7.56044940845,7.56000000000,7.56044892724
16,MA62_38,MA62-38,7.52659000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,32880.00000000000,19492500.00000000000,7.52658499575,7.53000000000,7.52658499575
18,MA62_09,MA62-09,9.68544000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,46300.00000000000,25038779.91530000000,9.66817715569,9.66000000000,9.68544453037
20,MA62_05,MA62-05,17.99530000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,49659.99620000000,46604491.90430000000,17.99531208960,17.96000000000,17.99531130210
21,MA62_06,MA62-06,21.26750000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,57420.09240000000,55078991.72370000000,21.26754251930,21.23000000000,21.26754161240
22,MA62_07,MA62-07,6.96993000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,24980.00000000000,18050800.00000000000,6.96992718886,6.97000000000,6.96992677736
23,MA62_08,MA62-08,8.24801000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,36900.00000000000,21360800.00000000000,8.24801325198,8.22000000000,8.24801298133
24,MA62_11,MA62-11,51.02980000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,85279.66140000000,132157882.30900000000,51.02960067570,51.03000000000,51.05123228960
25,MA62_12,MA62-12,55.87090000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,87799.80480000000,144695684.68500000000,55.87076356050,55.87000000000,55.89239516380
26,MA62_13,MA62-13,60.15910000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,92279.92800000000,155801282.87400000000,60.15890146150,60.16000000000,60.18053304610
27,MA62_14,MA62-14,2.79691000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,20080.00000000000,6809628.78789000000,2.62938155302,2.80000000000,2.79691061802
28,MA62_22,MA62-22,18.61410000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,55639.89600010000,48206679.44540000000,18.61392830740,18.61000000000,18.63556035530
36,MA62_32,MA62-32,64.18480000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,102060.07180000000,200511311.92800000000,77.42287136760,64.11000000000,64.18416112810
37,MA62_33,MA62-33,10.69570000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,40540.00000000000,27699864.62710000000,10.69569822340,10.69000000000,10.69501649430
38,MA62_35,MA62-35,34.49160000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,67039.98220000000,89326779.36640000000,34.49144076960,34.49000000000,34.51307248400
39,MA62_37,MA62-37,9.27769000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,33260.00000000000,24027900.00000000000,9.27768861846,9.28000000000,9.27768834236
40,MA62_40,MA62-40,22.52330000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,69960.00000000000,57897155.95180000000,22.35558763500,22.35000000000,22.51488103460
46,MA62_34,MA62-34,16.35770000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,56440.00000000000,42363464.62710000000,16.35770689830,16.35000000000,16.35702497970
47,MA62_36,MA62-36,3.48286000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,18139.95290130000,9020099.60298000000,3.48286368951,3.48000000000,3.48286369830
48,MA62_43,MA62-43,2.47066000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,18159.95580000000,6398699.96313000000,2.47065641830,2.47000000000,2.47065641830
49,MA62_66,MA62-66,18.84860000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,49405.04278090000,48705099.52780000000,18.80629702030,18.79000000000,18.85099335630
