OBJECTID,Name,AU_ID,Area_SQ_MI,AU_Size,MERGE_SRC,OID_,LU_Stats,Shape_Leng,Shape_Area
48,MA62_43,MA62-43,2.47055000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,18159.95580000000,6398699.96313000000
49,MA62_66,MA62-66,18.84980000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,49405.04278090000,48820854.23030000000
50,MA62_63,MA62-63,13.70340000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,49208.93968860000,35491562.61480000000
51,MA62_61,MA62-61,43.62070000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,104619.95060000000,112977093.01400000000
52,MA62_59,MA62-59,2.80245000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,16476.48742800000,7258318.76756000000
53,MA62_58,MA62-58,2.51217000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,14399.41303920000,6506485.85538000000
54,MA62_67,MA62-67,4.27022000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,22241.62037070000,11059822.27670000000
55,MA62_64,MA62-64,2.61542000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,22420.36429380000,6773912.23230000000
56,MA62_65,MA62-65,9.55883000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,36915.54811410000,24757243.28020000000
57,MA62_60,MA62-60,36.33270000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,92420.02100000000,94101199.17390000000
58,MA62_62,MA62-62,6.27868000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,28899.17553010000,16261704.56270000000
59,MA62_81,MA62-81,13.22210000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,36420.00000000000,34245000.00000000000
60,MA62_79,MA62-79,1.01190000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,12460.00000000000,2620800.00000000000
61,MA62_78,MA62-78,1.39201000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,14020.00000000000,3605300.00000000000
62,MA62_77,MA62-77,2.25237000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,14120.00000000000,5833600.00000000000
63,MA62_75,MA62-75,1.19819000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,10020.00000000000,3103300.00000000000
64,MA62_68,MA62-68,10.44870000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,44820.00000000000,27062100.00000000000
65,MA62_69,MA62-69,0.64988700000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,8820.00230000000,1683200.61200000000
66,MA62_71,MA62-71,8.31166000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,32460.00680000000,21527108.32950000000
67,MA62_72,MA62-72,9.39159000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,31460.00590000000,24324109.37950000000
68,MA62_73,MA62-73,4.13936000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,25060.00550000000,10720904.10500000000
69,MA62_74,MA62-74,23.34060000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,65700.01250000000,60451923.31450000000
70,MA62_70,MA62-70,2.75259000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,13086.97205410000,7129173.67616000000
71,MA62_80,MA62_80,12.58210000000,0.00000000000,New Group Layer\taunton_all_subbasins,0,,35566.07032750000,32587540.87970000000
72,MA94_03,MA94-03,8.93966000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,38300.00000000000,23153600.00000000000
73,MA94_04,MA94-04,30.45230000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,80259.91120000000,78871187.66740000000
74,MA94_10,MA94-10,7.29652000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,31460.00000000000,18897900.00000000000
75,MA94_13,MA94-13,20.07620000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,53160.00000000000,51997200.00000000000
76,MA94_08,MA94-08,11.40820000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,45520.00000000000,29547200.00000000000
77,MA94_12,MA94-12,17.56550000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,47840.00000000000,45494500.00000000000
78,MA94_21,MA94-21,20.70090000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,54659.96780000000,53615102.05640000000
79,MA94_27,MA94-27,10.33330000000,0.00000000000,New Group Layer\southcoastal_all_subbasins,0,,47040.00000000000,26763000.00000000000
