AU_ID,Longitude,Latitude
MA52-11,-71.30692853000,41.87419346000
MA52-01,-71.35001775000,42.01688593000
MA52-06,-71.28682948000,41.98425507000
MA52-10,-71.31922857000,41.94222166000
MA52-08,-71.34567525000,41.93955379000
MA52-05,-71.27056918000,41.92613481000
MA52-03,-71.31925076000,41.95724384000
MA52-07,-71.35053166000,41.96366313000
MA52-02,-71.33492286000,41.99251094000
MA52-09,-71.35406839000,41.99265926000
MA62-46,-71.06420948000,42.10372202000
MA62-45,-71.07134230000,41.75975378000
MA62-42,-71.03246998000,41.77812605000
MA62-41,-71.03681651000,41.85452560000
MA62-38,-70.95117763000,42.06326235000
MA62-09,-70.98170800000,42.09780079000
MA62-05,-71.03547010000,42.10184084000
MA62-06,-71.02924106000,42.09330649000
MA62-07,-71.01920825000,42.10723127000
MA62-08,-71.05674253000,42.11022584000
MA62-11,-71.06848868000,42.03451287000
MA62-12,-71.06196072000,42.03260434000
MA62-13,-71.05494343000,42.02916738000
MA62-14,-71.24117017000,42.05561197000
MA62-22,-71.09291587000,42.07516914000
MA62-32,-70.95373258000,42.06663467000
MA62-33,-70.93626446000,42.09777248000
MA62-35,-71.08701166000,42.04689499000
MA62-37,-71.05881712000,41.93970223000
MA62-40,-71.21385904000,42.03017187000
MA62-34,-70.92139110000,42.08116646000
MA62-36,-70.96840039000,41.95672646000
MA62-43,-71.10956117000,41.89437092000
MA62-66,-71.17615680000,42.02755196000
MA62-63,-71.22246890000,42.06031099000
MA62-59,-71.14866670000,41.81543987000
MA62-58,-71.15078795000,41.81577729000
MA62-67,-71.12649889000,42.08648238000
MA62-64,-71.19101407000,42.07647962000
MA62-65,-71.19018172000,42.05094797000
MA62-62,-71.21394815000,42.08565346000
MA62-79,-70.85021811000,42.03336556000
MA62-78,-71.17580413000,41.99886572000
MA62-77,-71.08096703000,41.93190400000
MA62-75,-70.97128875000,41.91372866000
MA62-68,-71.10918751000,42.07833643000
MA62-69,-70.95095789000,41.88329941000
MA62-71,-70.96046753000,41.89187010000
MA62-72,-70.86921074000,41.87890075000
MA62-73,-70.98939105000,41.86949377000
MA62-70,-71.03480553000,41.94273115000
MA62-80,-70.85962939000,42.01615712000
MA94-03,-70.91834256000,42.12135688000
MA94-04,-70.88403099000,42.11483872000
MA94-10,-70.68828512000,42.07933740000
MA94-21,-70.89657641000,42.13115651000
MA94-27,-70.82794983000,42.14444703000
MA94-22,-70.88131813000,42.11467410000
MA94-35,-70.60521183000,41.90563616000
MA94-24,-70.82726057000,42.11234547000
MA94-36,-70.78313690000,42.19226660000
MA94-39,-70.87432157000,42.15318362000
MA94-41,-70.89760137000,42.15076242000
MA94-40,-70.90042841000,42.14219535000
MA94-42,-70.68206539000,41.92521617000
MA94-38,-70.62259867000,41.90877411000
MA94-37,-70.64493440000,41.89686178000
MA94-43,-70.58168123000,41.83293836000
MA94-45,-70.69573116000,41.96771460000
MA94-44,-70.57206910000,41.81567224000
MA94-46,-70.71436963000,42.02649716000
MA94-48,-70.75174081000,42.04926121000
MA94-49,-70.85199573000,42.05324403000
MA94-50,-70.86072001000,42.06359908000
MA94-51,-70.56838709000,41.87414032000
MA94-52,-70.75227926000,41.97233297000
MA94-53,-70.75426035000,41.96766566000
MA94-54,-70.72302433000,41.96991579000
MA94-55,-70.71546440000,42.10223138000
MA94-58,-70.74170547000,42.01603347000
MA94-59,-70.72612706000,41.98210402000
MA94-60,-70.76312218000,42.08456068000
MA94-61,-70.68332826000,42.03155178000
MA94-63,-70.77366353000,42.19014795000
MA94-65,-70.56843432000,41.91104714000
MA94-67,-70.72237278000,42.00599147000
MA83-01,-71.27452150000,42.47087414000
MA83-24,-71.29354584000,42.47705950000
MA83-08,-71.25995495000,42.46272421000
MA83-09,-71.24977369000,42.58356626000
MA83-10,-71.24702168000,42.46335233000
MA83-11,-71.19999173000,42.49598886000
MA83-13,-71.20969672000,42.50318396000
MA83-14,-71.26805569000,42.51090005000
MA83-16,-71.13668425000,42.61880620000
MA83-15,-71.19350074000,42.63389843000
MA83-20,-71.17855001000,42.62265601000
MA83-23,-71.30786739000,42.46261904000
MA83-22,-71.24593755000,42.54368168000
MA41-05,-71.98459698000,42.16345090000
MA41-08,-72.20988882000,42.07531409000
MA41-10,-71.93731329000,42.04702079000
MA41-13,-72.03636887000,42.12566343000
MA41-14,-72.07547517000,42.04694288000
MA41-16,-72.18076826000,42.14820804000
MA41-18,-72.22265536000,42.13187755000
MA41-19,-72.19487351000,42.04774130000
MA41-20,-72.17942785000,42.02425310000
MA41-21,-72.12939429000,42.05603346000
MA41-22,-71.78765157000,42.02839001000
MA41-25,-71.92769353000,42.03722212000
MA41-26,-72.14132367000,42.17158884000
MA41-12,-72.05706240000,42.04185566000
MA41-15,-72.10988229000,42.06864515000
